Date,PET_mean (kg/m2/8day),PET_variance
2019-05-01T00:00:00Z,33.20238095,0.095555556
2019-05-09T00:00:00Z,30.76071429,0.86
2019-05-25T00:00:00Z,41.99166667,0.108888889
2019-06-02T00:00:00Z,44.33571429,0.015555556
2019-06-10T00:00:00Z,58.14285714,0.028888889
2019-06-18T00:00:00Z,68.82261905,0.042222222
2019-06-26T00:00:00Z,71.75119048,0.126666667
2019-07-04T00:00:00Z,45.06904762,0.068888889
2019-07-12T00:00:00Z,53.34166667,0.015555556
2019-07-20T00:00:00Z,62.05833333,0.295555556
2019-07-28T00:00:00Z,52.69880952,0.015555556
2019-08-05T00:00:00Z,50.86071429,0.068888889
2019-08-13T00:00:00Z,49.22619048,0.006666667
2019-08-21T00:00:00Z,34.43809524,0.375555556
2019-08-29T00:00:00Z,42.04047619,0.202222222
2019-09-06T00:00:00Z,39.98452381,0.002222222
2019-09-14T00:00:00Z,33.616,0.0225
2019-09-22T00:00:00Z,26.31,0.16
2019-09-30T00:00:00Z,23.67261905,0.028888889
2019-10-08T00:00:00Z,22.18333333,0.015555556
2019-10-16T00:00:00Z,20.64404762,0.206666667
2019-10-24T00:00:00Z,13.68333333,0.015555556
2019-11-09T00:00:00Z,3.910666667,0.01
2019-12-03T00:00:00Z,5.123809524,0.055555556
2019-12-11T00:00:00Z,4.598809524,0.015555556
2019-12-19T00:00:00Z,6.905952381,0.006666667
2019-12-27T00:00:00Z,4.404761905,0.002222222
2020-01-01T00:00:00Z,12.89880952,0.015555556
2020-01-09T00:00:00Z,6.753333333,0.25
2020-01-17T00:00:00Z,5.3,0
2020-02-02T00:00:00Z,12.22738095,0.028888889
2020-02-10T00:00:00Z,15.43690476,0.015555556
2020-02-18T00:00:00Z,13.29761905,0.062222222
2020-02-26T00:00:00Z,12.86904762,0.008888889
2020-03-05T00:00:00Z,13.79285714,0.042222222
2020-03-13T00:00:00Z,24.78333333,0.015555556
2020-03-21T00:00:00Z,16.40714286,0.115555556
2020-03-29T00:00:00Z,31.67261905,0.028888889
2020-04-06T00:00:00Z,45.30714286,0.442222222
2020-04-14T00:00:00Z,26.98214286,0.06
2020-04-22T00:00:00Z,39.68333333,0.435555556
2020-04-30T00:00:00Z,40.79404762,0.388888889
2020-05-08T00:00:00Z,45.2875,0.25
2020-05-16T00:00:00Z,44.55866667,0.3025
2020-05-24T00:00:00Z,50.33733333,0.1225
2020-06-17T00:00:00Z,64.08690476,0.126666667
2020-06-25T00:00:00Z,66.04285714,0.028888889
2020-07-03T00:00:00Z,62.90357143,0.18
2020-07-11T00:00:00Z,56.08095238,0.126666667
2020-07-19T00:00:00Z,56.48809524,0.026666667
2020-07-27T00:00:00Z,56.62619048,0.335555556
2020-08-04T00:00:00Z,54.07619048,0.348888889
2020-08-12T00:00:00Z,48.71071429,0.082222222
2020-08-20T00:00:00Z,50.49880952,0.015555556
2020-08-28T00:00:00Z,37.56190476,0.046666667
2020-09-05T00:00:00Z,41.75595238,0.086666667
2020-09-13T00:00:00Z,36.96190476,0.046666667
2020-09-21T00:00:00Z,19.81071429,0.002222222
2020-09-29T00:00:00Z,24.65952381,0.506666667
2020-10-15T00:00:00Z,16.09880952,0.015555556
2020-10-31T00:00:00Z,9.99047619,0.206666667
2020-11-08T00:00:00Z,9.9,0
2020-11-16T00:00:00Z,8.742857143,0.035555556
2020-11-24T00:00:00Z,5.891666667,0.108888889
2020-12-10T00:00:00Z,4.723809524,0.055555556
2020-12-26T00:00:00Z,2.829761905,0.028888889
2021-01-01T00:00:00Z,3.1,0
2021-01-09T00:00:00Z,4.603571429,0.028888889
2021-01-17T00:00:00Z,4.519047619,0.035555556
2021-01-25T00:00:00Z,7.105333333,0.0025
2021-02-02T00:00:00Z,6.317857143,0.095555556
2021-02-10T00:00:00Z,7.925,0.015555556
2021-02-18T00:00:00Z,17.00714286,0.042222222
2021-02-26T00:00:00Z,19.75357143,0.02
2021-03-06T00:00:00Z,17.32133333,0.04
2021-03-14T00:00:00Z,18.53809524,0.035555556
2021-03-22T00:00:00Z,28.95714286,0.035555556
2021-03-30T00:00:00Z,33.70357143,0.028888889
2021-04-07T00:00:00Z,18.41547619,0.002222222
2021-04-15T00:00:00Z,25.5047619,0.002222222
