Date	NDVI	Geometry
2022-09-05 12:00:00	0.07476710745806936	budrio-half
2022-09-10 12:00:00	0.08315255392853166	budrio-half
2022-09-15 12:00:00		budrio-half
2022-09-20 12:00:00	0.0808534066346373	budrio-half
2022-09-25 12:00:00		budrio-half
2022-09-30 12:00:00		budrio-half
2022-10-05 12:00:00	0.07600347527771473	budrio-half
2022-10-10 12:00:00		budrio-half
2022-10-15 12:00:00	0.06644148648844082	budrio-half
2022-10-20 12:00:00		budrio-half
2022-10-25 12:00:00	0.0318814672048833	budrio-half
2022-10-30 11:00:00	0.08138164287318551	budrio-half
2022-11-04 11:00:00	0.07769077417530641	budrio-half
2022-11-09 11:00:00	0.04680719673575044	budrio-half
2022-11-14 11:00:00		budrio-half
2022-11-19 11:00:00		budrio-half
2022-11-24 11:00:00	0.08154179549799703	budrio-half
2022-11-29 11:00:00		budrio-half
2022-12-04 11:00:00		budrio-half
2022-12-09 11:00:00		budrio-half
2022-12-14 11:00:00		budrio-half
2022-12-19 11:00:00		budrio-half
2022-12-24 11:00:00		budrio-half
2022-12-29 11:00:00		budrio-half
2023-01-03 11:00:00		budrio-half
2023-01-08 11:00:00		budrio-half
2023-01-13 11:00:00		budrio-half
2023-01-18 11:00:00		budrio-half
2023-01-23 11:00:00		budrio-half
2023-01-28 11:00:00		budrio-half
2023-02-02 11:00:00	0.10267780214926045	budrio-half
2023-02-07 11:00:00	0.10473059896991757	budrio-half
2023-02-12 11:00:00	0.0914614099067386	budrio-half
2023-02-17 11:00:00	0.11593995124029473	budrio-half
