Date	Angle[°]	Geometry	Orb	Pass	VH[lin]	VH_var[lin]	VV[lin]	VV_var[lin]	VV[dB]	VH[dB]	VV_var[dB]	VH_var[dB]
2021-03-04 18:00:00	37.287445068359375	Budrio_half-right	117	ASCENDING	0.0032986758186598028	4.877150604590639e-06	0.02240909582018336	0.00011750158352690579	-16.49575666366634	-24.8166036317097	0.022772132240457196	0.006421120811578809
2021-03-08 06:00:00	31.35396957397461	Budrio_half-right	168	DESCENDING	0.004622080498401857	9.599546579248896e-06	0.09148255397756046	0.001642195520388515	-10.386617194164211	-23.351624950950544	0.07795983186979118	0.009019812851772111
2021-03-09 06:00:00	41.312889099121094	Budrio_half-right	95	DESCENDING	0.0024261597990259806	1.121618203142395e-06	0.054263076081644816	0.000176142317085329	-12.654955904598292	-26.150805977193894	0.014097548805510412	0.0020077514952747196
2021-03-10 18:00:00	37.376373291015625	Budrio_half-right	117	ASCENDING	0.003331839883798497	3.887993899166632e-06	0.025042298735888806	7.683271520674768e-05	-16.01325807950022	-24.773158773893833	0.013324665038083721	0.0050678734722286395
2021-03-14 06:00:00	31.31571388244629	Budrio_half-right	168	DESCENDING	0.004503889036558934	4.1321539675794514e-06	0.07427788704960586	0.0011883353733315998	-11.29140458940718	-23.464123178467165	0.06948063761475737	0.003984493516442124
2021-03-15 06:00:00	41.83964920043945	Budrio_half-right	95	DESCENDING	0.006011183019016867	6.919653570274223e-06	0.08198988068956012	0.0008608485684695136	-10.86239745566008	-22.210400491168777	0.04559852751294803	0.004999294403023728
2021-03-16 18:00:00	37.19975662231445	Budrio_half-right	117	ASCENDING	0.0035714415487454955	1.014312643515199e-05	0.028981259199790218	0.00013418392044460705	-15.378827488979683	-24.471564532714897	0.020107937963461435	0.012334245933776647
2021-03-20 06:00:00	31.356788635253906	Budrio_half-right	168	DESCENDING	0.0029213681490923103	2.545804434094792e-06	0.08896456071518997	0.0016081378838664422	-10.507829613435135	-25.3441371004303	0.07850377762653542	0.003784626795755699
2021-03-21 06:00:00	41.314979553222656	Budrio_half-right	95	DESCENDING	0.0027051409924641174	3.1825166406335208e-06	0.034496097559274026	0.00013091268719711145	-14.622300325885792	-25.678100944563358	0.016481475205460457	0.005109343355643027
2021-03-22 18:00:00	37.377952575683594	Budrio_half-right	117	ASCENDING	0.003163872580013993	6.862991750506946e-06	0.02402687485804573	7.329731179704225e-05	-16.193027135976273	-24.997810153485432	0.013248755087737919	0.00942060519573618
2021-03-26 06:00:00	31.318700790405273	Budrio_half-right	168	DESCENDING	0.004203618743235239	2.934998641485867e-06	0.07810153051444861	0.0010693142988574982	-11.073404553996955	-23.763766801836674	0.05946071688417727	0.003032277169384391
2021-03-27 06:00:00	41.8423957824707	Budrio_half-right	95	DESCENDING	0.0026807377002803557	3.971670982080502e-06	0.04349315930467659	0.00023328248819909223	-13.615790444212688	-25.717456779580935	0.023294076348836887	0.00643432884639344
2021-03-28 19:00:00	37.35670852661133	Budrio_half-right	117	ASCENDING	0.0031577902077837092	4.0289099178357055e-06	0.03023521585403115	0.00020314871996804392	-15.194869265493576	-25.006167263316442	0.029180002720591628	0.005541005672537627
2021-04-01 07:00:00	31.36786651611328	Budrio_half-right	168	DESCENDING	0.00378919921136687	7.711434004140766e-06	0.14352167843788263	0.0039220171928113475	-8.430824953420101	-24.2145256175507	0.11867966172823549	0.008838366759691536
2021-04-02 07:00:00	41.316741943359375	Budrio_half-right	95	DESCENDING	0.0020713518228952853	2.2961205127111784e-06	0.03951203079202345	0.00016204397990930708	-14.032706483974128	-26.83746129129212	0.0178109818426393	0.004814210977744373
2021-04-03 19:00:00	37.37961196899414	Budrio_half-right	117	ASCENDING	0.002410143228952049	8.321100226459839e-07	0.026010138896494023	0.00013700556533929338	-15.848573286261248	-26.17957147593105	0.022875987419240885	0.0014994162456007734
2021-04-07 07:00:00	31.320709228515625	Budrio_half-right	168	DESCENDING	0.009985400638575028	2.3214491033846466e-05	0.39990677395704144	0.019119152421429985	-3.980412393592329	-20.006345054921496	0.2076319516454651	0.010096665843575789
2021-04-09 19:00:00	37.361141204833984	Budrio_half-right	117	ASCENDING	0.002983401329415292	2.764223447452471e-06	0.030788587778806678	0.00016576380329873466	-15.116102310038253	-25.252883210841986	0.023382139378763916	0.0040238870249865825
2021-04-13 07:00:00	31.36771583557129	Budrio_half-right	168	DESCENDING	0.013896789758675965	4.180740804955116e-05	0.5417427479625373	0.02658436863515213	-2.66206893650845	-18.570855127756403	0.2131167356932823	0.013065410741543495
2021-04-14 07:00:00	41.31562423706055	Budrio_half-right	95	DESCENDING	0.01946103291337689	6.255692395922596e-05	0.15507210590335585	0.002774241697448687	-8.094663152858796	-17.108341128510677	0.07769533106223211	0.013960269735558924
2021-04-15 19:00:00	37.3836669921875	Budrio_half-right	117	ASCENDING	0.007237756619758965	1.8612881464221588e-05	0.0780333038917043	0.0005294565869035353	-11.077200048804423	-21.403960247747666	0.029466915103152476	0.01116847683184455
2021-04-19 07:00:00	31.31744384765625	Budrio_half-right	168	DESCENDING	0.004137865646423999	4.103481365720729e-06	0.16993906687122062	0.0030976884208147905	-7.697067707704454	-23.832236146765545	0.07916419764943944	0.004306856398939546
2021-04-20 07:00:00	41.84099197387695	Budrio_half-right	95	DESCENDING	0.004267576672346433	1.1657649223575862e-05	0.04813225253814812	0.00031548786128215176	-13.175638133279028	-23.698186675002013	0.02846628404804108	0.011863530800910077
2021-04-21 19:00:00	37.36091613769531	Budrio_half-right	117	ASCENDING	0.004999875677634476	9.407584029095269e-06	0.04022300829744916	0.00016707892605220852	-13.955254514388171	-23.01040794301698	0.018039788344572247	0.008171526844463919
2021-04-25 07:00:00	31.368268966674805	Budrio_half-right	168	DESCENDING	0.00720658360708686	1.3268804724542032e-05	0.13140440282952834	0.0036274459057569126	-8.813900830826704	-21.4227057054063	0.11988789617015488	0.007996255906409754
2021-04-26 07:00:00	41.31651306152344	Budrio_half-right	95	DESCENDING	0.0045899968461591435	8.656086761352783e-06	0.04782669851809328	0.00047018301417266206	-13.203295974859968	-23.381876128714865	0.04269537619507138	0.00819018147796122
2021-04-27 19:00:00	37.38407516479492	Budrio_half-right	117	ASCENDING	0.013512459897605298	3.0173582996944056e-05	0.10578737246947266	0.0016333100165628707	-9.75566169674402	-18.692655819396194	0.06705313790029702	0.009697879360326492
