	Angle[°]	Date	Geometry	Orb	Pass	VH[lin]	VH_var[lin]	VV[lin]	VV_var[lin]	VV[dB]	VH[dB]	VV_var[dB]	VH_var[dB]	SWC[m3/m3]	Pioggia[mm]	Irrigazione[mm]	Temperatura[°C]	VV_norm[dB]	VH_norm[dB]
17	37.39067077636719	2017-05-06 19:00:00	Budrio_half-right	117	ASCENDING	0.0379437378238199	0.0002439837727413	0.277346777927184	0.0094740019861118	-5.569768751666945	-14.208598891484488	0.1483524277750606	0.0279257691130739	0.2510701898506981	6.0	0.0	13.6863	-5.4587696874076315	-14.565359942715759
18	31.27954864501953	2017-05-10 07:00:00	Budrio_half-right	168	DESCENDING	0.0329897045471369	0.0001673212243896	0.2653894097056299	0.0124434204783556	-5.761164115325195	-14.816215739400352	0.2036294084133204	0.022027079495029	0.3214425811442417	0.0	0.0	10.2424	-7.764504280408923	-15.767199843794213
19	41.29113006591797	2017-05-11 07:00:00	Budrio_half-right	95	DESCENDING	0.0146050166641397	1.702044464132729e-05	0.1708931573968548	0.0038218142120145	-7.672753261866996	-18.35497943165624	0.0971245922552014	0.0050611959967274	0.2924139086933853	0.0	0.0	13.0038	-7.672753261866996	-18.35497943165624
20	37.53934097290039	2017-05-12 19:00:00	Budrio_half-right	117	ASCENDING	0.0260687253041056	6.0074342410605445e-05	0.2121560235225466	0.0066552036285536	-6.7334463325646565	-15.83880204233569	0.1362355008278236	0.0100081438998413	0.2599304759652417	5.0	0.0	17.5478	-6.50518835883265	-16.04504269853039
21	31.38932609558105	2017-05-16 07:00:00	Budrio_half-right	168	DESCENDING	0.0210728319497694	4.9393807870636713e-05	0.2117836458440469	0.005801012734735	-6.741075796105526	-16.762770962138337	0.118958563117811	0.0101796750667115	0.2749390584808138	0.0	0.0	15.4188	-8.542556878529052	-17.533993446539707
22	41.30397033691406	2017-05-17 07:00:00	Budrio_half-right	95	DESCENDING	0.0075468531566714	1.750753222058758e-05	0.074042627945433	0.0008831403706302	-11.305181755222351	-21.22234100236206	0.0518002940135187	0.010074960354069	0.2574799749306096	0.0	0.0	15.6164	-11.305181755222351	-21.22234100236206
23	37.38901901245117	2017-05-18 19:00:00	Budrio_half-right	117	ASCENDING	0.005947710235546	3.6983167898522914e-06	0.0544272715144838	0.0005449434276453	-12.641834366898122	-22.256501978785305	0.0434829667169373	0.0027004654069458	0.2164295141384599	0.0	0.0	21.7876	-11.818212910170265	-21.87018168381501
24	31.280447006225582	2017-05-22 07:00:00	Budrio_half-right	168	DESCENDING	0.0094380907280916	2.3310802400846524e-05	0.1010385301511839	0.0013681548681728	-9.955129802661975	-20.251158521127795	0.0588074775778555	0.0107264839288864	0.1659718862067933	0.0	0.0	15.7527	-11.094524692922564	-20.70023335133441
25	41.292755126953125	2017-05-23 07:00:00	Budrio_half-right	95	DESCENDING	0.0086920557555894	1.635223603663413e-05	0.0649395641598613	0.0005940386545636	-11.874906304559737	-20.60877496540749	0.0397273546645839	0.008170317905431	0.1640501505008053	0.0	0.0	17.7367	-11.874906304559737	-20.60877496540749
26	37.537227630615234	2017-05-24 19:00:00	Budrio_half-right	117	ASCENDING	0.0095851481088316	1.2156749035384677e-05	0.0950180958891834	0.0011195641257706	-10.221936768541555	-20.18401172055469	0.0511713602981558	0.0055081141824878	0.3005551679879181	0.0	0.0	27.1429	-9.642158243977072	-19.98904920342664
27	31.38874053955078	2017-05-28 07:00:00	Budrio_half-right	168	DESCENDING	0.0081628882809695	1.5444141837217393e-05	0.1093333530357685	0.0019196551104768	-9.612473327458662	-20.88156147306836	0.0762526345793778	0.0082168288316179	0.2647203731341871	0.0	0.0	18.6296	-10.822454499226822	-21.272419482829736
28	41.31303024291992	2017-05-29 07:00:00	Budrio_half-right	95	DESCENDING	0.0067670599575391	1.28949056407554e-05	0.0772139559133373	0.0018414730732831	-11.12304196705992	-21.695999755612995	0.1035747469276018	0.0082756564883159	0.2145975687692395	0.0	0.0	16.361	-11.12304196705992	-21.695999755612995
29	37.3808708190918	2017-05-30 19:00:00	Budrio_half-right	117	ASCENDING	0.0091348634239945	3.675675092606589e-05	0.0679733031626946	0.0012760840849558	-11.676616250244106	-20.392979414311952	0.081531461729086	0.0174750878682564	0.3158316625254539	0.0	0.0	26.1032	-10.950255775097439	-20.178722430848342
