Date	Angle[°]	Geometry	Orb	Pass	VV_norm[dB]	VH_norm[dB]
2018-02-23 06:00:00	41.09654235839844	Budrio_half-right	95	DESCENDING	-7.250164371401839	-14.368296826330376
2018-02-24 18:00:00	37.530303955078125	Budrio_half-right	117	ASCENDING	-5.35302100337469	-14.477781433971602
2018-02-28 06:00:00	31.363811492919922	Budrio_half-right	168	DESCENDING	-10.270767411416585	-21.13775707147735
2018-03-01 06:00:00	41.31120681762695	Budrio_half-right	95	DESCENDING	-11.973665610146968	-21.8395345105807
2018-03-02 18:00:00	37.371891021728516	Budrio_half-right	117	ASCENDING	-11.449458794771392	-22.832922606556355
2018-03-06 06:00:00	31.316511154174805	Budrio_half-right	168	DESCENDING	-6.3999492711174675	-16.342292829830377
2018-03-07 06:00:00	41.098915100097656	Budrio_half-right	95	DESCENDING	-7.246573078093692	-16.4748705874505
2018-03-08 18:00:00	37.53160858154297	Budrio_half-right	117	ASCENDING	-4.915067750844846	-15.747304492022359
2018-03-12 06:00:00	31.364788055419922	Budrio_half-right	168	DESCENDING	-7.362440938410369	-16.301778838609028
2018-03-13 06:00:00	41.31261444091797	Budrio_half-right	95	DESCENDING	-7.790084828731692	-15.958264461206625
2018-03-14 18:00:00	37.37329864501953	Budrio_half-right	117	ASCENDING	-5.086048802836842	-16.823678780766713
2018-03-18 06:00:00	31.318483352661133	Budrio_half-right	168	DESCENDING	-7.195593259784239	-15.867850942265095
2018-03-19 06:00:00	41.10074234008789	Budrio_half-right	95	DESCENDING	-7.8696581339359115	-17.287490619350216
2018-03-20 18:00:00	37.5330810546875	Budrio_half-right	117	ASCENDING	-5.040823132710674	-16.193564667678398
2018-03-24 06:00:00	31.366870880126953	Budrio_half-right	168	DESCENDING	-10.701120890625234	-21.18402337307475
2018-03-25 07:00:00	41.314178466796875	Budrio_half-right	95	DESCENDING	-11.098081939579911	-21.848287551671607
2018-03-26 19:00:00	37.374595642089844	Budrio_half-right	117	ASCENDING	-10.028772546177334	-22.49180487037807
2018-03-30 07:00:00	31.321056365966797	Budrio_half-right	168	DESCENDING	-12.049824876677977	-21.11571825032229
2018-03-31 07:00:00	41.10226058959961	Budrio_half-right	95	DESCENDING	-10.70843095155867	-21.78990451079388
2018-04-01 19:00:00	37.53425598144531	Budrio_half-right	117	ASCENDING	-11.63710585746475	-20.074829115051983
2018-04-05 07:00:00	31.368471145629883	Budrio_half-right	168	DESCENDING	-8.224920468638697	-19.830582331838198
2018-04-06 07:00:00	41.31577682495117	Budrio_half-right	95	DESCENDING	-11.698244659502688	-21.897188450551447
2018-04-07 19:00:00	37.37627029418945	Budrio_half-right	117	ASCENDING	-13.44060707558231	-22.781413400713433
2018-04-11 07:00:00	31.322372436523438	Budrio_half-right	168	DESCENDING	-12.54471678378722	-23.669418574647352
2018-04-12 07:00:00	41.101810455322266	Budrio_half-right	95	DESCENDING	-11.664394852511297	-22.25929917077641
2018-04-13 19:00:00	37.53859329223633	Budrio_half-right	117	ASCENDING	-14.124648260119578	-23.264036177519394
2018-04-17 07:00:00	31.367847442626953	Budrio_half-right	168	DESCENDING	-12.309467730000737	-25.143350582897916
2018-04-18 07:00:00	41.314964294433594	Budrio_half-right	95	DESCENDING	-14.302965988075666	-24.315492294530276
2018-04-19 19:00:00	37.37961196899414	Budrio_half-right	117	ASCENDING	-14.527219815085251	-24.154293967705435
2018-04-23 07:00:00	31.319316864013672	Budrio_half-right	168	DESCENDING	-12.368429605522767	-23.61455559834331
2018-04-24 07:00:00	41.293128967285156	Budrio_half-right	95	DESCENDING	-14.334220142649075	-24.74383330464012
2018-04-25 19:00:00	37.5379753112793	Budrio_half-right	117	ASCENDING	-13.402774167505138	-23.760105072100995
