Field name;Date;Parameter name;Parameter value
Budrio_campo_safe_half;19/11/2020;TERRASCOPE_S2_LAI_V2;0.105806452
Budrio_campo_safe_half;24/11/2020;TERRASCOPE_S2_LAI_V2;0.08516129
Budrio_campo_safe_half;29/11/2020;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;09/12/2020;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;29/12/2020;TERRASCOPE_S2_LAI_V2;0.145806452
Budrio_campo_safe_half;03/01/2021;TERRASCOPE_S2_LAI_V2;0.169032258
Budrio_campo_safe_half;08/01/2021;TERRASCOPE_S2_LAI_V2;0.232258065
Budrio_campo_safe_half;13/01/2021;TERRASCOPE_S2_LAI_V2;0.126451613
Budrio_campo_safe_half;18/01/2021;TERRASCOPE_S2_LAI_V2;0.132903226
Budrio_campo_safe_half;23/01/2021;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;17/02/2021;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;22/02/2021;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;27/02/2021;TERRASCOPE_S2_LAI_V2;0.206451613
Budrio_campo_safe_half;04/03/2021;TERRASCOPE_S2_LAI_V2;0.126451613
Budrio_campo_safe_half;09/03/2021;TERRASCOPE_S2_LAI_V2;0.16516129
Budrio_campo_safe_half;19/03/2021;TERRASCOPE_S2_LAI_V2;0.174193548
Budrio_campo_safe_half;24/03/2021;TERRASCOPE_S2_LAI_V2;0.132903226
Budrio_campo_safe_half;29/03/2021;TERRASCOPE_S2_LAI_V2;0.149677419
Budrio_campo_safe_half;08/04/2021;TERRASCOPE_S2_LAI_V2;0.169032258
Budrio_campo_safe_half;18/04/2021;TERRASCOPE_S2_LAI_V2;0.203076923
Budrio_campo_safe_half;23/04/2021;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;03/05/2021;TERRASCOPE_S2_LAI_V2;0.332903226
Budrio_campo_safe_half;13/05/2021;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;18/05/2021;TERRASCOPE_S2_LAI_V2;0.166451613
Budrio_campo_safe_half;23/05/2021;TERRASCOPE_S2_LAI_V2;0.185806452
Budrio_campo_safe_half;28/05/2021;TERRASCOPE_S2_LAI_V2;0.2
Budrio_campo_safe_half;02/06/2021;TERRASCOPE_S2_LAI_V2;0.220645161
Budrio_campo_safe_half;07/06/2021;TERRASCOPE_S2_LAI_V2;0.535483871
Budrio_campo_safe_half;12/06/2021;TERRASCOPE_S2_LAI_V2;0.68
Budrio_campo_safe_half;17/06/2021;TERRASCOPE_S2_LAI_V2;0.590967742
Budrio_campo_safe_half;22/06/2021;TERRASCOPE_S2_LAI_V2;0.602580645
Budrio_campo_safe_half;27/06/2021;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;02/07/2021;TERRASCOPE_S2_LAI_V2;0.818064516
Budrio_campo_safe_half;07/07/2021;TERRASCOPE_S2_LAI_V2;0.602580645
Budrio_campo_safe_half;12/07/2021;TERRASCOPE_S2_LAI_V2;0.607741935
Budrio_campo_safe_half;22/07/2021;TERRASCOPE_S2_LAI_V2;0.578064516
Budrio_campo_safe_half;01/08/2021;TERRASCOPE_S2_LAI_V2;0.389677419
Budrio_campo_safe_half;06/08/2021;TERRASCOPE_S2_LAI_V2;0.268387097
Budrio_campo_safe_half;11/08/2021;TERRASCOPE_S2_LAI_V2;0.216774194
Budrio_campo_safe_half;16/08/2021;TERRASCOPE_S2_LAI_V2;0.216774194
Budrio_campo_safe_half;21/08/2021;TERRASCOPE_S2_LAI_V2;0.228387097
Budrio_campo_safe_half;26/08/2021;TERRASCOPE_S2_LAI_V2;0.162580645
Budrio_campo_safe_half;31/08/2021;TERRASCOPE_S2_LAI_V2;0.140645161
Budrio_campo_safe_half;05/09/2021;TERRASCOPE_S2_LAI_V2;0.140645161
Budrio_campo_safe_half;10/09/2021;TERRASCOPE_S2_LAI_V2;0.153548387
Budrio_campo_safe_half;20/09/2021;TERRASCOPE_S2_LAI_V2;0.113548387
Budrio_campo_safe_half;30/09/2021;TERRASCOPE_S2_LAI_V2;0.268387097
Budrio_campo_safe_half;10/10/2021;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;15/10/2021;TERRASCOPE_S2_LAI_V2;0.118709677
Budrio_campo_safe_half;20/10/2021;TERRASCOPE_S2_LAI_V2;0.121290323
Budrio_campo_safe_half;30/10/2021;TERRASCOPE_S2_LAI_V2;0.156129032
Budrio_campo_safe_half;04/11/2021;TERRASCOPE_S2_LAI_V2;0.210322581
Budrio_campo_safe_half;19/11/2021;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;24/11/2021;TERRASCOPE_S2_LAI_V2;0.681290323
Budrio_campo_safe_half;29/11/2021;TERRASCOPE_S2_LAI_V2;0.36516129
Budrio_campo_safe_half;14/12/2021;TERRASCOPE_S2_LAI_V2;1.36
Budrio_campo_safe_half;19/12/2021;TERRASCOPE_S2_LAI_V2;1.184516129
Budrio_campo_safe_half;08/01/2022;TERRASCOPE_S2_LAI_V2;2.412903226
Budrio_campo_safe_half;13/01/2022;TERRASCOPE_S2_LAI_V2;2.32516129
Budrio_campo_safe_half;18/01/2022;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;23/01/2022;TERRASCOPE_S2_LAI_V2;0.779354839
Budrio_campo_safe_half;02/02/2022;TERRASCOPE_S2_LAI_V2;1.962580645
Budrio_campo_safe_half;07/02/2022;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;17/02/2022;TERRASCOPE_S2_LAI_V2;2.425806452
Budrio_campo_safe_half;22/02/2022;TERRASCOPE_S2_LAI_V2;2.705806452
Budrio_campo_safe_half;04/03/2022;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;09/03/2022;TERRASCOPE_S2_LAI_V2;2.787096774
Budrio_campo_safe_half;14/03/2022;TERRASCOPE_S2_LAI_V2;0.496774194
Budrio_campo_safe_half;19/03/2022;TERRASCOPE_S2_LAI_V2;2.906666667
Budrio_campo_safe_half;24/03/2022;TERRASCOPE_S2_LAI_V2;3.264516129
