Date	Angle[°]	Geometry	Orb	Pass	VH[lin]	VH_var[lin]	VV[lin]	VV_var[lin]	VV[dB]	VH[dB]	VV_var[dB]	VH_var[dB]	VV_norm[dB]	VH_norm[dB]
2019-08-18 19:00:00	36.804141998291016	Budrio_half-right	117	ASCENDING	0.0039411443351608	3.569450045368852e-06	0.0634156864948111	0.0004202396491384	-11.97803301810843	-24.043776598270966	0.0287795923667441	0.0039333562191645	-11.339819033856038	-24.381681066649872
2019-08-18 19:00:00	37.53891372680664	Budrio_half-right	117	ASCENDING	0.0043739348182929	3.0740563416025943e-06	0.0638863863724638	0.0004025253361114	-11.945916763205508	-23.59127693238627	0.0273633464382015	0.0030522761807839	-11.310381403003927	-23.9308157160627
2019-08-22 07:00:00	31.38516616821289	Budrio_half-right	168	DESCENDING	0.0223962843165536	8.46342774338797e-05	0.2968166356290148	0.0093824300466841	-5.275117618855379	-16.49824027856523	0.1372813079523992	0.016411740068077	-7.208598605881033	-17.454820818366212
2019-08-23 07:00:00	41.31367874145508	Budrio_half-right	95	DESCENDING	0.0101845028680869	3.372750970058695e-05	0.0950640345426761	0.0014040976993817	-10.219837580778767	-19.920601651828022	0.064145382197174	0.0143823135414901	-10.219837580778767	-19.920601651828022
2019-08-24 19:00:00	37.37970733642578	Budrio_half-right	117	ASCENDING	0.0053957150223215	5.974110491461714e-06	0.0555792233776228	0.0005295281597177	-12.550875260215722	-22.679509958981143	0.0413771808604252	0.0048084882355514	-11.86488394290668	-23.022341816276757
2019-08-28 07:00:00	31.319231033325195	Budrio_half-right	168	DESCENDING	0.0072045220964679	1.5523287109112967e-05	0.0923537866439421	0.0007153687070396	-10.34545293132731	-21.423948223101583	0.0336402754324932	0.0093575643772301	-11.816978580752338	-22.194637489227038
2019-08-29 07:00:00	41.27202606201172	Budrio_half-right	95	DESCENDING	0.0092047145514342	3.959774793322663e-05	0.0849764691758909	0.000996529368759	-10.707013180721564	-20.35989674912183	0.0509302410542342	0.0186829079023603	-10.707013180721564	-20.35989674912183
2019-08-30 19:00:00	37.5379524230957	Budrio_half-right	117	ASCENDING	0.0091139823566021	1.9365773178313527e-05	0.0688679827953805	0.0005143648098738	-11.619826377009767	-20.4029181648626	0.0324368145466309	0.0092280718790716	-11.011488258636115	-20.753972500705412
2019-09-03 07:00:00	31.38528633117676	Budrio_half-right	168	DESCENDING	0.0116785562923604	3.948903283514616e-05	0.1299557682637226	0.0025281242485723	-8.862044389832274	-19.326108415570427	0.0844864699266501	0.0146849221998603	-10.468722539309985	-20.175968050337357
2019-09-04 07:00:00	41.313846588134766	Budrio_half-right	95	DESCENDING	0.007680883690083	2.139484371555473e-05	0.0843663461274645	0.0018424155501758	-10.738307596049228	-21.14588811264222	0.0948424275249752	0.0120971270256892	-10.738307596049228	-21.14588811264222
2019-09-05 19:00:00	37.37941360473633	Budrio_half-right	117	ASCENDING	0.0126639207017317	2.828295414239861e-05	0.1041309430039342	0.0013823418671353	-9.824201986448358	-18.974318175793822	0.057652742564525	0.0096993112996094	-9.365626120657378	-19.3305322564767
2019-09-09 07:00:00	31.31868553161621	Budrio_half-right	168	DESCENDING	0.0271735853259937	0.0001811425076486	0.3290992018159641	0.0116136256487637	-4.826731710248081	-15.658530562980411	0.153258759253043	0.0289506116201333	-6.801064879825951	-16.64680090459372
2019-09-10 07:00:00	41.27280426025391	Budrio_half-right	95	DESCENDING	0.0107604193757754	1.9206403296127053e-05	0.1487269854373711	0.002692637734778	-8.276102247311936	-19.68170802179309	0.0786271372703254	0.0077517749796023	-8.276102247311936	-19.68170802179309
2019-09-11 19:00:00	37.53745269775391	Budrio_half-right	117	ASCENDING	0.0093242425452298	2.078930235082202e-05	0.0607283994873698	0.000352334752206	-12.166081646696828	-20.303864379952053	0.0251969490316747	0.0096830163413104	-11.512183655053738	-20.65527647322136
2019-09-15 07:00:00	31.38493156433105	Budrio_half-right	168	DESCENDING	0.011440524252312	2.7214414831925217e-05	0.1334258266473812	0.0018209385094445	-8.747600978196042	-19.415540739110394	0.0592706499489716	0.0103308816353783	-10.364706001164455	-20.262025287754113
2019-09-16 07:00:00	41.3128547668457	Budrio_half-right	95	DESCENDING	0.0079869181386411	2.5946431382841133e-05	0.0854808793950789	0.0015732277017915	-10.68131018626994	-20.97620766815634	0.0799294666246427	0.0141085607477709	-10.68131018626994	-20.97620766815634
2019-09-17 19:00:00	37.3788948059082	Budrio_half-right	117	ASCENDING	0.0076088654671572	1.457616393710777e-05	0.0753420520171417	0.0013367607369108	-11.229625555213198	-21.18680094620406	0.0770549508703614	0.0083196996878539	-10.653831745292381	-21.535024094053597
2019-09-21 07:00:00	31.314855575561523	Budrio_half-right	168	DESCENDING	0.0104384555577809	2.9493490227539346e-05	0.1456758822634117	0.0029413226957279	-8.366123429926022	-19.813637534746974	0.0876878311223561	0.012270838331385	-10.01798465317268	-20.645098309910757
2019-09-22 07:00:00	41.26968765258789	Budrio_half-right	95	DESCENDING	0.0059023087750259	8.314687886401271e-06	0.0789347229777338	0.0009110064606745	-11.02731910854813	-22.28978074439211	0.0501230718147664	0.0061179840049896	-11.02731910854813	-22.28978074439211
2019-09-27 07:00:00	31.38172721862793	Budrio_half-right	168	DESCENDING	0.012784572687849	2.348578173622589e-05	0.1805789491126016	0.0032785990572388	-7.433328787018808	-18.93313783273983	0.0788506902897168	0.0079781668580298	-9.170176394324981	-19.797827782860807
2019-09-28 07:00:00	41.30961227416992	Budrio_half-right	95	DESCENDING	0.0100122334705181	2.921312840260645e-05	0.0959291442822803	0.000782196117205	-10.18049429554224	-19.99469031838933	0.0354119136587611	0.0126715987014699	-10.18049429554224	-19.99469031838933
2019-09-29 19:00:00	37.37710952758789	Budrio_half-right	117	ASCENDING	0.0086010869239541	1.612664451840021e-05	0.0705219293057614	0.0004907981623029	-11.516758149860916	-20.654466632624807	0.0302247734449035	0.008142822863993	-10.917016333669753	-21.004612438495272
